,Theme,Nudges
213,Water Saved,"Participate in recharge of rural water bodies through Amrit Sarovar Scheme RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 19th March, 2023 for 230 beneficiaries."
215,Water Saved,"Participate in recharge of rural water bodies through Amrit Sarovar Scheme RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 17th March, 2023 for (62 In service teachers from Institute of Advanced Study in Education, Bhopal and 210 general visitors of museum) 272 beneficiaries.#LiFEMission #ChooseLiFE"
217,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution."
219,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises Information given to the students regarding the importance of celebrating 5th June as World Environment Day. A brief Lecture was delivered by Dr. Ashutosh Birla on Planting trees to reduce the impact of pollution and Described the relevance of trees in Indian culture. Oath was taken by the students to save guard the environment."
220,LiFEStyles Adopted,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises HPCL Mumbai LPG RO participated in Plant, Flower, Fruit & Vegetable Exhibition organized by BMC at Byculla from 3rd to 5th"
238,LiFEStyles Adopted,Plant trees to reduce the impact of pollution A Plantation Drive was organized
239,LiFEStyles Adopted,Plant trees to reduce the impact of pollution Tree planting event to mark World Environment Day.
240,LiFEStyles Adopted,Plant trees to reduce the impact of pollution NSS unit MAM college of Jammu conducted a Plantation Drive in the college 
241,LiFEStyles Adopted,Plant trees to reduce the impact of pollution 50 No. of Tree plantation was done by IOCL Rewari Terminal Marketing Division at Government school Karnawas open vaccant area.
242,LiFEStyles Adopted,Plant trees to reduce the impact of pollution Poster Making competition on the topic of of Air Pollution
246,LiFEStyles Adopted,Plant trees to reduce the impact of pollution Distribution of 100 seed balls to workmen at HPCL Mumbai Pune Solapur Pipeline - Talegaon
247,LiFEStyles Adopted,Plant trees to reduce the impact of pollution Tree plantation drive with students and teachers of the 79 Indira Gandhi School. Students from Erazmus+ project Beli(e)ve in a Green World were very excited to be part of such initiative and planted the beautiful trees gift from the Indian Embassy and Sofia Municipality. 
253,LiFEStyles Adopted,Plant trees to reduce the impact of pollution Plantation Drive was organized to Save Lives
260,LiFEStyles Adopted,Plant trees to reduce the impact of pollution Tree Plantation
261,LiFEStyles Adopted,Plant trees to reduce the impact of pollution HPCL Locations carried out plantation of carbon sequestering and pollution reducing trees and seed bombing for biodiversity preservation.
266,LiFEStyles Adopted,"Plant trees to reduce the impact of pollution To mark World Environment Day and to raise awareness on Mission LiFE, High Commission of India in association with Indian Country Club, Lilongwe organised a tree planting event on 4 June 2023 at the Indian Country Club, Lilongwe."
272,LiFEStyles Adopted,Plant trees to reduce the impact of pollution NSS unit of GD Goenka University organized the â€œSave Trees Save Earthâ€ tree plantation activity
274,LiFEStyles Adopted,"Plant trees to reduce the impact of pollution IOCL Paradip Refinery planted saplings on the occasion of world environment day at Ecopark, Paradip Refinery, Odisha for ecosystem restoration."
282,LiFEStyles Adopted,Plant trees to reduce the impact of pollution An awareness programme was organized by GGM Science College on the topic of Air Pollution 
284,LiFEStyles Adopted,Plant trees to reduce the impact of pollution Sapling plantation
285,Water Saved,Practice crop diversification. Move from rice & wheat cultivation to pulse & oil seed cropping system. GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt 
286,Water Saved,Pre-soak heavy pots and pans before washing them Poster displayed and awareness created on Pre-soak heavy pots and pans before washing them among the canteen employees.
287,Water Saved,Pre-soak heavy pots and pans before washing them WATER SAVING
288,Water Saved,"Pre-soak heavy pots and pans before washing them RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 07th April, 2023. #ChooseLiFE #ProPlanetPeople"
290,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles BPCL is Selling High Performance domestic LPG cooking stove with thermal efficiency of 74%.
291,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles Awareness on alternate Fuels CNG/EV
295,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles test by sahil test by sahil test by sahil test by sahil test by sahil 
296,Energy Saved,"Prefer CNG/ EV vehicle over petrol/ diesel vehicles An awareness meeting on  alternate Fuels CNG/EVs is conducted in Vellore  RSA of IOCL Chennai Divisional Office . The program was attended virtually by 30 participants. During the meeting the advantages of CNG/EV vehicles including less cost, increased economy through increased mileage were briefed"
297,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles BPCL has Sold 4649 number of High Performance domestic Cooking Stove through our distributors in the month of January-2023.
298,Water Saved,"Prefer a water purification system that wastes less water RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 15th April, 2023. #ChooseLiFE #ProPlanetPeople"
300,LiFEStyles Adopted,"Prefer consuming natural or organic products Special Yoga session was organized under the theme ""Adopt Healthy Lifestyle"" with yoga teachers of Bulgaria Yoga Federation. "
301,LiFEStyles Adopted,Prefer consuming natural or organic products Yoga session
307,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events Talk and presentations on the SDGs to be organized in collaboration with Local sustainable focused groups.
